timestamp,timestamp_sample,information_event_changes,gps_checks_passed,reset_vel_to_gps,reset_vel_to_flow,reset_vel_to_vision,reset_vel_to_zero,reset_pos_to_last_known,reset_pos_to_gps,reset_pos_to_vision,starting_gps_fusion,starting_vision_pos_fusion,starting_vision_vel_fusion,starting_vision_yaw_fusion,yaw_aligned_to_imu_gps,reset_hgt_to_baro,reset_hgt_to_gps,reset_hgt_to_rng,reset_hgt_to_ev
464584338,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
465594185,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
466604191,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
467614329,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
468624188,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
469634186,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
470644332,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
471654333,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
472664183,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
473674334,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
474684185,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
475694190,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
476704183,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
477714367,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
478724333,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
479734325,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
480744393,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
481754188,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
482764331,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
483774202,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
484784178,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
485794180,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
486804186,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
487814333,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
488824392,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
489834329,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
490844346,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
491854178,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
492864372,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
493874336,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
494884349,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
495894371,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
496904178,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
497914191,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
498924361,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
499934202,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
500944391,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
501954370,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
502964342,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
503974179,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
504984366,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
505994193,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
507004184,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
508014228,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
509024200,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
510034333,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
511044236,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
512054193,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
513064190,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
514074366,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
515084324,272583743,14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
515244398,515143740,15,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
516254191,515143740,15,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
517264323,515143740,15,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
518274187,515143740,15,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
519084398,518983743,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
520094194,518983743,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
521104178,518983743,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
522114197,518983743,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
523124337,518983743,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
524134368,518983743,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
525144192,518983743,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
526154184,518983743,16,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
526434358,526333742,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
527444428,526333742,17,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
528254398,528153743,18,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
529264188,528153743,18,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
530274230,528153743,18,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
531284337,528153743,18,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
532294325,528153743,18,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
532634345,532533740,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
533644566,532533740,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
